sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
A-A4,Apple A4,Apple,A4,A A4,9747,8412,control far,control far,control,soil,5,6.933187592,0.922493945,18.76859661,183,NA
A-B3,Apple B3,Apple,B3,A B3,10820,9667,control far,control far,control,soil,9,7.043586881,0.925894708,17.17468389,195,NA
A-C4,Apple C4,Apple,C4,A C4,7623,6644,control far,control far,control,soil,11.5,6.606200022,0.915091538,14.59513949,149,NA
A-D4,Apple D4,Apple,D4,A D4,8844,7713,control far,control far,control,soil,7,6.504109851,0.895046224,17.64107182,154,NA
A-E4,Apple E4,Apple,E4,A E4,11827,10604,control far,control far,control,soil,27,6.892951257,0.902617531,16.62047628,199,NA
A-F3,Apple F3,Apple,F3,A F3,14914,13246,control far,control far,control,soil,30,7.083063631,0.905741885,17.21283623,226,NA
A-G4,Apple G4,Apple,G4,A G4,11773,10328,control far,control far,control,soil,12,7.065982399,0.910382756,20.38559158,217,NA
A-H5,Apple H5,Apple,H5,A H5,13031,11408,control far,control far,control,soil,13,7.205719971,0.918453777,20.8428667,230,NA
A-I3,Apple I3,Apple,I3,A I3,10663,9352,control far,control far,control,soil,22,7.095020494,0.916495608,18.77625922,214,NA
B-B4,Banana B4,Banana,B4,B B4,8561,7659,control far,control far,control,soil,19,6.799203154,0.910493077,18.63714318,177,NA
B-C4,Banana C4,Banana,C4,B C4,6389,5623,control far,control far,control,soil,27,6.273584503,0.890578295,14.5934697,132,NA
B-D7,Banana D7,Banana,D7,B D7,10198,9107,control far,control far,control,soil,35,6.809893096,0.899606736,16.76792023,190,NA
B-E5,Banana E5,Banana,E5,B E5,10400,9243,control far,control far,control,soil,34,6.958463125,0.907783194,16.36314875,203,NA
B-F4,Banana F4,Banana,F4,B F4,10326,9302,control far,control far,control,soil,24,6.91719472,0.904935225,18.72385158,200,NA
B-H5,Banana H5,Banana,H5,B H5,6614,5933,control far,control far,control,soil,26,6.574638594,0.908299388,14.0736592,151,NA
B-I6,Banana I6,Banana,I6,B I6,9677,8077,control far,control far,control,soil,32,6.32394793,0.888327051,14.38947548,139,NA
B-J6,Banana J6,Banana,J6,B J6,9647,8527,control far,control far,control,soil,20,6.807303623,0.908627483,17.6935282,180,NA
B-L7,Banana L7,Banana,L7,B L7,7564,6756,control far,control far,control,soil,14,6.740540729,0.901656111,19.84691377,178,NA
BA3,Banana A3,Banana,A3,B A3,8961,7861,control far,control far,control,soil,60,6.580282523,0.899820572,15.46154945,159,NA
C-A4,Carrot A4,Carrot,A4,C A4,11025,9675,control far,control far,control,soil,40,6.392834528,0.855144794,17.20073743,178,NA
C-B4,Carrot B4,Carrot,B4,C B4,11116,9935,control far,control far,control,soil,30,6.995004845,0.90201242,20.3167599,216,NA
C-C5,Carrot C5,Carrot,C5,C C5,10248,8877,control far,control far,control,soil,38,6.749893119,0.898105734,16.8537796,183,NA
C-D5,Carrot D5,Carrot,D5,C D5,14949,13184,control far,control far,control,soil,22,7.429353225,0.918024982,20.62226548,273,NA
C-E4,Carrot E4,Carrot,E4,C E4,9106,8072,control far,control far,control,soil,34,6.72200225,0.903137617,17.77450935,174,NA
C-F6,Carrot F6,Carrot,F6,C F6,6870,6017,control far,control far,control,soil,36,6.167733364,0.882531355,13.30088244,127,NA
C-I6,Carrot I6,Carrot,I6,C I6,6592,5869,control far,control far,control,soil,26,6.388021672,0.893461204,16.64778436,142,NA
C-J5,Carrot J5,Carrot,J5,C J5,8224,7089,control far,control far,control,soil,17,6.402255576,0.89169034,16.22001087,145,NA
C-K4,Carrot K4,Carrot,K4,C K4,9822,8662,control far,control far,control,soil,6,7.007670421,0.91677162,19.48138556,200,NA
DC-A3,DC A3,DC,A3,DC A3,11390,9899,control far,control far,control,soil,16,6.966035861,0.915700459,17.01878684,195,NA
DC-B4,DC B4,DC,B4,DC B4,6857,5869,control far,control far,control,soil,28,6.463835881,0.91476851,14.51176568,134,NA
DC-C4,DC C4,DC,C4,DC C4,9258,7887,control far,control far,control,soil,30,6.727901225,0.904941178,15.00438462,173,NA
DC-D4,DC D4,DC,D4,DC D4,7764,6705,control far,control far,control,soil,25,6.506728458,0.901312726,15.15034571,149,NA
DC-E4,DC E4,DC,E4,DC E4,8228,7034,control far,control far,control,soil,11,6.814792779,0.917660897,17.76911211,172,NA
DC-G5,DC G5,DC,G5,DC G5,9182,7937,control far,control far,control,soil,13,7.131536101,0.915719739,21.61973113,221,NA
DC-H4,DC H4,DC,H4,DC H4,11484,9722,control far,control far,control,soil,30,7.205406844,0.922140852,18.05677774,225,NA
DC-J4,DC J4,DC,J4,DC J4,8622,7223,control far,control far,control,soil,19,6.642009764,0.931651857,14.30979851,140,NA
DC-K4,DC K4,DC,K4,DC K4,7520,6218,control far,control far,control,soil,18,6.474316538,0.926399863,15.408994,127,NA
DC-L4,DC L4,DC,L4,DC L4,6284,5482,control far,control far,control,soil,14,6.59641151,0.923925214,15.28014704,141,NA
DC-M5,DC M5,DC,M5,DC M5,6376,5426,control far,control far,control,soil,36,6.463988998,0.929509135,12.8774289,124,NA
DC-N4,DC N4,DC,N4,DC N4,6713,5803,control far,control far,control,soil,53,7.305989076,0.938120247,20.69940414,221,NA
DC-P5,DC P5,DC,P5,DC P5,7928,6556,control far,control far,control,soil,49,6.663995221,0.921865039,14.94859456,150,NA
DC-Q6,DC Q6,DC,Q6,DC Q6,8294,7053,control far,control far,control,soil,49,6.589000294,0.903268384,15.93107388,157,NA
DC-R6,DC R6,DC,R6,DC R6,9937,8666,control far,control far,control,soil,44,6.973110222,0.907189195,20.28663356,206,NA
E-A4,Eggplant A4,Eggplant,A4,E A4,8990,7780,control far,control far,control,soil,30,6.909043259,0.918320777,17.47695492,184,NA
E-B4,Eggplant B4,Eggplant,B4,E B4,7205,6122,control far,control far,control,soil,29,6.605742621,0.915028178,17.18145511,149,NA
E-C4,Eggplant C4,Eggplant,C4,E C4,10019,8553,control far,control far,control,soil,25,7.006592102,0.926523075,17.78706227,189,NA
E-E3,Eggplant E3,Eggplant,E3,E E3,10111,8696,control far,control far,control,soil,40,6.807136024,0.904775698,16.4162514,184,NA
E-F4,Eggplant F4,Eggplant,F4,E F4,6884,6009,control far,control far,control,soil,46,6.489909807,0.914325229,14.16847744,137,NA
E-G4,Eggplant G4,Eggplant,G4,E G4,8901,7603,control far,control far,control,soil,50,6.588523044,0.906662526,16.22934828,154,NA
E-I5,Eggplant I5,Eggplant,I5,E I5,6749,5742,control far,control far,control,soil,12,6.586952784,0.904130285,17.90194481,156,NA
E-J4,Eggplant J4,Eggplant,J4,E J4,6912,5886,control far,control far,control,soil,27,6.01404831,0.890325458,12.86713885,108,NA
A-A3,Apple A3,Apple,A3,A A3,12379,10227,control near,control near,control,soil,14,6.68168178,0.894755586,16.58418519,177,ants
A-C3,Apple C3,Apple,C3,A C3,8407,7389,control near,control near,control,soil,11.5,6.549929788,0.904885817,16.8423031,151,ants
A-D3,Apple D3,Apple,D3,A D3,10293,8758,control near,control near,control,soil,7,6.656474652,0.898383512,18.81228973,170,seeds
