id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
A-A2,Apple,A,A2,A A2,9495,8130,sample,soil,soil,soil,Apple_soil,Apple_sample,high,Apple_5,5,0.166666667,soil5,A_5,soil,6.545538974,0.891781027,17.07240547,162,0.983603572,164.5714286,,5
A-A3,Apple,A,A3,A A3,12379,10227,control,control near,control,soil,Apple_control,Apple_control,medium,Apple_14,14,0.466666667,control near14,A_14,control,6.68168178,0.894755586,16.58418519,177,0.984888071,179.8125,,14
A-A4,Apple,A,A4,A A4,9747,8412,control,control far,control,soil,Apple_control,Apple_control,high,Apple_5,5,0.166666667,control far5,A_5,control,6.933187592,0.922493945,18.76859661,183,0.989207424,184.5,,5
A-B1,Apple,B,B1,A B1,23674,20840,sample,seeds,seeds,seeds,Apple_seeds,Apple_sample,high,Apple_9,9,0.3,seeds9,B_9,seeds,4.532911745,0.676509593,11.22559095,104,0.878254144,110.6,,9
A-B2,Apple,B,B2,A B2,13992,12032,sample,soil,soil,soil,Apple_soil,Apple_sample,high,Apple_9,9,0.3,soil9,B_9,soil,6.7815487,0.915263988,12.23572818,170,0.987143699,170.7692308,,9
A-B3,Apple,B,B3,A B3,10820,9667,control,control far,control,soil,Apple_control,Apple_control,high,Apple_9,9,0.3,control far9,B_9,control,7.043586881,0.925894708,17.17468389,195,0.990007734,196.2352941,,9
A-C1,Apple,C,C1,A C1,31452,29306,sample,ants,ants,ants,Apple_ants,Apple_sample,medium,Apple_11.5,11.5,0.383333333,ants11.5,C_11.5,ants,0.569388443,0.139301191,4.832096917,17,0.144826509,20,,11.5
A-C2,Apple,C,C2,A C2,12576,11093,sample,soil,soil,soil,Apple_soil,Apple_sample,medium,Apple_11.5,11.5,0.383333333,soil11.5,C_11.5,soil,7.123879551,0.9124575,19.12994152,224,0.990104603,231.1578947,,11.5
A-C3,Apple,C,C3,A C3,8407,7389,control,control near,control,soil,Apple_control,Apple_control,medium,Apple_11.5,11.5,0.383333333,control near11.5,C_11.5,control,6.549929788,0.904885817,16.8423031,151,0.984864236,152,,11.5
A-C4,Apple,C,C4,A C4,7623,6644,control,control far,control,soil,Apple_control,Apple_control,medium,Apple_11.5,11.5,0.383333333,control far11.5,C_11.5,control,6.606200022,0.915091538,14.59513949,149,0.986087314,149.4285714,,11.5
